HSS,6418 HSSC,G 20 CD 71 RANGKA / AWS - 2 AXLE,G 20 CD 71 RANGKA ,ex H86 T,H 20 CD 014 ST- A / L 9626 UG (Slamet)
HSS,6419 HSSC,G 30 CD 72 RANGKA / AWS - 3 AXLE ,G 30 CD 72 RANGKA ,H105 T ex H01 T ,H 30 CD T 001 ST - A / L 9029 UG (Tasdi)
HSS,6420 HSSC,G 30 CD 73 RANGKA / AWS - 2 AXLE,G 30 CD 73 RANGKA ,H86  H 72 T,H 20 CD 020 ST-  A (026)[ CF-182 ]
HSS,6421 HSSC,G 20 CD 74 RANGKA / AWS - 2 AXLE,G 20 CD 74 RANGKA ,H09 T [ CA-839 ],H 20 CD 003 ST - A / L 9830 UK
HSS,6422 HSSC,G 20 CD 75 RANGKA / AWS - 2 AXLE,G 20 CD 75 RANGKA ,H84 Tex H20 T,H 20 CD 004 ST - A / L 9625 UG (Mat Ropii)
HSS,6423 HSSC,G 20 CD 76 RANGKA / AWS - 2 AXLE ( SMG 08/10/18 ),G 20 CD 76 RANGKA ,H77 T ex H17 T ,H 20 CD 008 ST - A / L 9622 UG (Suli) [ CC-547 ]
HSS,6424 HSSC,G 20 CD 77 RANGKA / AWS,G 20 CD 77 RANGKA ,H102 ex H94 T,H 20 CD 052 ST - A / L 8275 UG (KHOLIK)
HSS,6426 HSSC,G 30 CD 79 RANGKA / AWS - 3 AXLE / gad X,G 30 CD 79 RANGKA ,H104 T ex H03 T,H 30 CD T 002 ST - A
HSS,6427 HSSC,G 30 CD 80 RANGKA / AWS - 3 AXLE / gad XI,G 30 CD 80 RANGKA ,H11 T,H 30 CD T 003 ST - A
HSS,6428 HSSC,G 20 CD 81 RANGKA / AWS / Gad XII - 2 AXLE,G 20 CD 81 RANGKA ,H02 ex H25 T,H 20 CD 026 ST - A
HSS,6429 HSSC,G 30 CD 82 RANGKA / AWS - 3 AXLE / gad XIV,G 30 CD 82 RANGKA ,H07 T,H 30 CD T 004 ST - A
HSS,6430 HSSC,G 30 CD 83 RANGKA / AWS - 3 AXLE / gand XV,G 30 CD 83 RANGKA ,H21 T,H 30 CD T 005 ST - A
HSS,6431 HSSC,G 20 CD 85 RANGKA / KS GAD XVII,G 20 CD 85 RANGKA ,H70 ,H 20 CD 037 ST - A
HSS,6601 HSSC,G 20 CD 01 RANGKA [AA] - 2 AXLE,G 20 CD 01 RANGKA ,H06 T ex H27 T,H 20 CD 009 ST
HSS,6602 HSSC,G 20 CD 02 RANGKA [AA] - 2 AXLE,G 20 CD 02 RANGKA ,H82 ex H15 T,H 20 CD 015 ST
HSS,6603 HSSC,G 20 CD 03 RANGKA [SN],G 20 CD 03 RANGKA ,H78 T ex H58 T??????,H 20 CD 017 ST
HSS,6604 HSSC,G 20 CD 04 RANGKA [SN],G 20 CD 04 RANGKA ,H91  H04T ex H90 T,H 20 CD 032 ST ( TD2-01 )
