Customer Kode, Ship From, Kode Ship From, Ship To, Kode Shipto, Harga Invoice
C-012,Romokalisari,SBY-02 ,Sierad,H012SRD,41,50
C-012,Jamrud,SBY-10 ,Haida-Pier Kraton (Order Haida),H012HKH,55,50
C-012,Jamrud,SBY-10 ,PT.Antaboga sidoarjo,H012ABS,44,00
C-012,Romokalisari,SBY-02 ,Malindo (Grainland),H012MGL,22,00
C-012,Romokalisari,SBY-02 ,Sierad (Grainland),H012SGL,41,50
C-012,Romokalisari,SBY-02 ,MPJS- Margomulyo (Grainland),H012MPG,25,00
C-012,Pelabuhan,SBY-11 ,Darmo Sugondo-Gresik,H012DSG,31,00
C-012,Pelabuhan,SBY-11 ,Wringin Anom,H012WNA,37,00
C-012,Teluk Lamong,SBY-07 ,Abba(Trosobo),H012ABT,38,00
C-012,Cheil Jeddang-Jombang,,Abba-Sepanjang,H012ABS,21,00
C-012,Teluk Lamong,SBY-07 ,Romokalisari ,H012RMK,16,00
C-012,Teluk Lamong,SBY-07 ,Abba-Sepanjang,H012ABS,52,00
C-012,Teluk Lamong,SBY-07 ,Sreeya-Wonoayu (FKS),H012SYF,43,50
C-012,Cpi Krian,SBY-18 ,JAMRUD SELATAN,H012JMS,39,00
C-012,Jamrud,SBY-10 ,Sreeya-Wonoayu (FKS),H012SYF,40,50
C-012,Pelabuhan,SBY-11 ,Cpi Krian (FKS),H012CKF,45,00
C-012,Pelabuhan,SBY-11 ,Cpi Sepanjang (FKS),H012CSF,35,00
C-012,Teluk Lamong,SBY-07 ,CARGILL SORINI,H012CSR,60,00
C-012,Teluk Lamong,SBY-07 ,Cpi Demak-Jateng,H012CDM,150,00
C-012,Teluk Lamong,SBY-07 ,CPI SEMARANG,H012CSM,150,00
C-012,Pelabuhan,SBY-11 ,PT.AGRICO - ROMO,H012RAG,25,00
C-012,Pelabuhan,SBY-11 ,PT.Seger,H012SGR,37,00
C-012,Pelabuhan,SBY-11 ,GD.GANTARI-GRESIK,H012GTG,31,00
C-012,Teluk Lamong,SBY-07 ,PT. TULUS-Gresik,H012TLS,16,00
